T,J,Instance,Profit,Elapsed time (s)
12,6,0,18123,15
12,6,1,21781,11
12,6,2,13811,141
12,6,3,13432,196
12,6,4,6013,23
12,6,5,11768,13
12,6,6,8698,14
12,6,7,10842,81
12,6,8,15911,8
12,6,9,8710,14
12,8,0,13552,60
12,8,1,9681,21
12,8,2,11697,238
12,8,3,12014,18
12,8,4,6145,192
12,8,5,19531,120
12,8,6,21205,12
12,8,7,14375,53
12,8,8,16506,20
12,8,9,11381,84
12,10,0,17400,104
12,10,1,10290,113
12,10,2,29936,193
12,10,3,11546,292
12,10,4,9683,99
12,10,5,18633,80
12,10,6,12296,113
12,10,7,13420,238
12,10,8,11961,208
12,10,9,9067,117
12,12,0,22685,14
12,12,1,8151,288
12,12,2,9954,266
12,12,3,18195,83
12,12,4,9305,659
12,12,5,9466,250
12,12,6,12794,310
12,12,7,17487,243
12,12,8,11006,242
12,12,9,11440,302
12,14,0,5966,583
12,14,1,19556,344
12,14,2,11853,281
12,14,3,7590,1099
12,14,4,12741,253
12,14,5,9796,1297
12,14,6,7622,170
12,14,7,10717,1880
12,14,8,32338,1038
12,14,9,14063,2193
12,16,0,12058,3963
12,16,1,9121,7446
12,16,2,12211,6060
12,16,3,11255,540
12,16,4,5832,2000
12,16,5,17478,2096
12,16,6,17908,175
12,16,7,17600,382
12,16,8,10946,22286
12,16,9,7586,1694
